oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
2,O=C(NCCc1ccccc1)c1cccnc1-c1cccnc1,O=[N+](c1ccccc1CCNC(c1c(-c2cccnc2)nc(O)c(C=O)c1)=O)[O-],0.01563818,0.01563818,1.0,1.0,65.97937069865571,0.01563818
2,C(=N/Nc1ccccc1)\c1cccnc1,c1(C)cnc(O)c(/C=N/Nc2c([N+]([O-])=O)cc([N+](=O)[O-])cc2)c1,0.0,0.0,1.0,1.0,1000.0,0.0
4,O=C(CNS(=O)(=O)c1cccs1)Nc1cccnc1,c1c(NC(CN(C)S(c2ccc(Br)s2)(=O)=O)=O)c(O)nc(C#N)c1,0.01629912,0.01629912,1.0,1.0,65.61397820701431,0.01629912
4,c1cnc2ccsc2c1,s1c(F)cc2nc(O)cc(C(N(C)C)=O)c12,0.44973263,0.44973263,1.0,1.0,31.752387268747533,0.44973263
5,c1cncc(CNCc2cccnc2)c1,C(N[C@H](C)c1ccc(O)nc1)c1cncc(C)c1,0.0062626777,0.0062626777,1.0,1.0,74.01023067262675,0.0062626777
6,O=C1NC(c2ccccc2)(c2ccncc2)C(=O)N1Cc1nc(-c2ccccc2)cs1,s1c(C)c(-c2ccc(F)cc2)nc1CN1C(=O)C(c2cc(O)ncc2)(c2ccc(F)cc2)NC1=O,0.44028503,0.44028503,1.0,1.0,32.08465981037193,0.44028503
12,c1ccncc1,O=[N+]([O-])c1c(C(=O)N(C)C)cc(O)nc1,0.62087435,0.62087435,1.0,1.0,25.71558925089353,0.62087435
12,O=C1CCC(NC(=O)c2ccnc3sccc23)C(=O)N1,c1c2c(sc1)nc(O)cc2C(=O)N(C1CCC(=O)NC1=O)C(F)F,0.06525072,0.06525072,1.0,1.0,53.122197307591186,0.06525072
12,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1Cc1cccnc1,c1(CN2C(=O)C(c3ccc(F)cc3)(c3ccc(F)cc3)NC2=O)ccc(O)nc1,0.012101161,0.012101161,1.0,1.0,68.23770826977065,0.012101161
12,c1cnc2[nH]ncc2c1,N1=Cc2c(nc(O)cc2C(N(C)C)=O)N1,0.5028867,0.5028867,1.0,1.0,29.899703197143804,0.5028867
12,c1ccc(-c2cccnc2)cc1,c1(O)ncc(C(N(C)C)=O)cc1-c1c(F)cc(F)cc1,0.14733553,0.14733553,1.0,1.0,45.24941324523321,0.14733553
12,c1cnc2cc[nH]c2c1,O=[N+](c1c(O)nc2c(c1)n(C)cc2)[O-],0.47782502,0.47782502,1.0,1.0,30.770943626030334,0.47782502
15,c1ccc(-c2cc3cccnc3n2Cc2ccncc2)cc1,Brc1cnc2n(Cc3c(C)c(O)ncc3)c(-c3ccc(F)cc3)c(C#N)c2c1,0.014162539,0.014162539,1.0,1.0,66.8532843179,0.014162539
15,O=C(Nc1ccncc1)Nc1ccc2c(c1)CCN2C(=O)c1cccs1,N(C(=O)Nc1cc2c(cc1)N(C(=O)c1sccc1)CC2)c1cc(O)ncc1,0.15871139,0.15871139,1.0,1.0,44.48673823046167,0.15871139
15,c1ccncc1,O=[N+](c1cc(F)c(O)nc1C(N(C)C)=O)[O-],0.00260656,0.00260656,1.0,1.0,81.65597553216433,0.00260656
19,c1ccncc1,C(N(C)C)(c1cc(O)ncc1)=O,0.63011736,0.63011736,1.0,1.0,25.372849851258557,0.63011736
19,c1ccncc1,FC(c1c(F)cnc(O)c1C(=O)N(C)C)(F)F,0.6957786,0.6957786,1.0,1.0,22.81437449870082,0.6957786
19,O=C(N/N=C\c1ccncc1)c1ccccc1,c1(/C=N\NC(=O)c2cc(OCC)c(OC)cc2)cc(O)ncc1,0.0,0.0,1.0,1.0,1000.0,0.0
