2025-08-21 17:03:19,309 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-21 17:03:21,464 - INFO - Oracle calls: 0/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-21 17:03:56,450 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-21 17:03:58,618 - INFO - Oracle calls: 0/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-21 17:06:26,724 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-21 17:06:28,891 - INFO - Oracle calls: 0/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-21 17:13:17,186 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-21 17:13:19,344 - INFO - Oracle calls: 0/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-21 17:15:24,664 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-21 17:15:26,830 - INFO - Oracle calls: 0/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-21 18:47:37,776 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-21 18:47:39,947 - INFO - Oracle calls: 0/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-21 19:25:08,619 - INFO - Oracle calls: 12/10000 (Batch Validity: 84.38%, 27 / 32)
2025-08-21 20:04:53,614 - INFO - Oracle calls: 27/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-21 20:30:17,081 - INFO - Oracle calls: 40/10000 (Batch Validity: 93.75%, 30 / 32)
2025-08-21 21:09:17,798 - INFO - Oracle calls: 56/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-21 21:33:16,278 - INFO - Oracle calls: 72/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-21 22:01:44,489 - INFO - Oracle calls: 88/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-21 22:12:05,131 - INFO - Logging intermediate results at 102 oracle calls.
2025-08-21 22:12:05,406 - INFO - Oracle calls: 102/10000 (Batch Validity: 100.0%, 32 / 32)
