oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
12,O=c1cccc[nH]1,N#Cc1c(O)c(=O)n(CC(O)=O)c(O)c1,0.1133745,0.1133745,1.0,1.0,47.864496227443794,0.1133745
12,N=C(NCc1ccccc1)NCc1cccnc1,O=[N+](c1cc(O)ncc1CNC(=NC)NCc1cc(O)ccc1)[O-],0.46421587,0.46421587,1.0,1.0,31.245397264272118,0.46421587
12,O=C(NCCc1ccccc1)c1cccnc1-c1cccnc1,O=[N+](c1ccccc1CCNC(c1c(-c2cccnc2)nc(O)c(C=O)c1)=O)[O-],0.20010644,0.20010644,1.0,1.0,42.03542267079664,0.20010644
12,C(=N/Nc1ccccc1)\c1cccnc1,c1(C)cnc(O)c(/C=N/Nc2c([N+]([O-])=O)cc([N+](=O)[O-])cc2)c1,0.0,0.0,1.0,1.0,1000.0,0.0
12,c1ccc(NCc2cccnc2)cc1,C(O)CCOc1c(O)c(O)cc(C(=O)NCCC)c1NCc1cnc(O)cc1,0.10440485,0.10440485,1.0,1.0,48.66782130594667,0.10440485
12,O=c1cc(Sc2ccccc2)ccn1Cc1ccccc1,c1c(N)cc(C)c(Cn2c(=O)c(O)c(Sc3ccc([N+]([O-])=O)cc3)c(O)c2O)c1,0.0,0.0,1.0,1.0,1000.0,0.0
12,c1ccncc1,O=[N+](c1cc(O)c(O)nc1)[O-],0.51669973,0.51669973,1.0,1.0,29.419576873259754,0.51669973
12,c1ccc2cnccc2c1,c1(C)c2c(c(O)nc1)c(O)c(OC)c(O)c2C,0.34196857,0.34196857,1.0,1.0,35.68520877102687,0.34196857
12,O=C(N/N=C\c1cccnc1)c1ccccc1,COc1ccc(C(=O)N/N=C\c2cnc(O)c(O)c2)c(O)c1,0.0,0.0,1.0,1.0,1000.0,0.0
12,c1cncc(Cc2cc3ccccc3c3ccccc23)c1,OC(c1c(N)ccc2c3ccccc3c(O)c(Cc3c(C(O)=O)c(C)c(O)nc3C)c21)=O,0.11765869,0.11765869,1.0,1.0,47.500252078132405,0.11765869
12,c1ccc(Cc2cccnc2)cc1,c1nc(O)c(Cc2c(O)c(CN)ccc2O)c(O)c1N,0.39351574,0.39351574,1.0,1.0,33.7571482613953,0.39351574
12,N=C(NCCCCCn1ccccc1=O)NCc1ccccn1,c1(O)c(O)nc(CNC(NCCCCCn2c(=O)cccc2)=NC)cc1O,0.058629762,0.058629762,1.0,1.0,54.112846514283206,0.058629762
27,c1ccncc1,O=[N+](c1ccc(O)c(O)n1)[O-],0.27636477,0.27636477,1.0,1.0,38.360739740868304,0.27636477
27,N=C(NCc1ccccc1)NCc1ccncc1,C(NC(C)c1c(O)cc(O)cc1)(NCc1ccnc(O)c1C)=NC,0.33263645,0.33263645,1.0,1.0,36.04785277116739,0.33263645
27,c1ccc(Cc2ccc(Nc3ncccc3-c3ccccc3)cc2)cc1,c1(N(c2nc(O)c(C=NC)c(O)c2-c2c(O)cc(O)cc2O)C)c(O)c(O)c(Cc2c(O)cc(C)cc2O)cc1,4.7656894e-08,4.7656894e-08,1.0,1.0,176.43748515707864,4.7656894e-08
27,c1ccncc1,CCCCOc1c([N+](=O)[O-])cc(CCl)c(O)n1,2.027345e-06,2.027345e-06,1.0,1.0,143.86142895267346,2.027345e-06
27,c1ccncc1,C(NCC)c1c(O)ccc(O)n1,0.066408336,0.066408336,1.0,1.0,52.958687163937896,0.066408336
27,O=C(Nc1ccccc1)c1cc2c(cn1)CC=CC2,c1(C(Nc2ccc(C#N)c(O)c2C)=O)c(O)c2c(c(O)n1)CC=C(O)C2O,4.741689e-13,4.741689e-13,1.0,1.0,276.4813394322492,4.741689e-13
27,O=C(N/N=C\c1ccccn1)c1ccccc1,N(\NC(c1c(O)ccc(OCC)c1)=O)=C\c1cc(O)cc(O)n1,0.0,0.0,1.0,1.0,1000.0,0.0
27,O=C(c1ccccn1)N1CCCCC1,C1CN(C(=O)c2c(O)ccc(O)n2)CCC1C(=O)O,1.1958609e-10,1.1958609e-10,1.0,1.0,228.4463865312579,1.1958609e-10
27,c1ccncc1,n1c(CO)cc(C#CCN)cc1O,0.15475763,0.15475763,1.0,1.0,44.74658362858066,0.15475763
27,O=C(Cc1ccccc1)Nc1ccc(Oc2cccc3ncccc23)cc1,n1c2c(c(Oc3cc(O)c(NC(Cc4c([N+](=O)[O-])cccc4)=O)cc3C)cc(C#N)c2O)ccc1O,0.07481797,0.07481797,1.0,1.0,51.84442486592841,0.07481797
27,O=C1CCC(NCc2ccncc2)=C1Nc1ccccc1,c1c(O)c(O)c(NC2=C(NCc3c(O)c(C)nc(O)c3O)CCC2=O)cc1CO,0.22471417,0.22471417,1.0,1.0,40.75662738868232,0.22471417
27,O=c1cc(/C=C/c2ccc(-c3cccnc3)cc2)cn[nH]1,c1(-c2ccc(O)nc2)ccc(/C=C/c2cc(=O)n(C)nc2O)cc1,0.0,0.0,1.0,1.0,1000.0,0.0
27,c1ccncc1,COc1c(O)c([N+]([O-])=O)cc(O)n1,0.0949849,0.0949849,1.0,1.0,49.58002555330969,0.0949849
